Time,Number of positions,Number of mates,Number of best mates,Number of TBwins, Number of positions connected to startpos
2023-05-13T09:31:27.734473,6566,2272,1164,868,0
2023-05-14T06:36:46.753285,6566,2476,1253,887,0
2023-05-15T06:37:32.234499,6566,3277,1676,936,0
2023-05-16T06:36:46.478467,6566,3888,2087,955,0
2023-05-17T06:37:18.047289,6566,4211,2392,962,0
2023-05-18T06:35:33.404737,6566,4416,2572,974,0
2023-05-19T06:35:56.040255,6566,4588,2742,977,0
2023-05-20T06:33:50.606962,6566,4656,2809,988,0
2023-05-21T06:35:42.737307,6566,4690,2859,997,0
2023-05-22T06:36:00.902692,6566,4706,2911,1005,1
